god ID:	SPS	god name:	Sovereign Plumed Serpent	part title:	PREAMBLE	part number:	1	number of times referenced in this part:	1	book number:	0
god ID:	Xpi	god name:	Xpiyacoc	part title:	PREAMBLE	part number:	1	number of times referenced in this part:	1	book number:	0
god ID:	Xmu	god name:	Xmucane	part title:	PREAMBLE	part number:	1	number of times referenced in this part:	1	book number:	0
god ID:	SPS	god name:	Sovereign Plumed Serpent	part title:	THE PRIMORDIAL WORLD	part number:	2	number of times referenced in this part:	2	book number:	1
god ID:	SPS	god name:	Sovereign Plumed Serpent	part title:	THE CREATION OF THE EARTH	part number:	3	number of times referenced in this part:	4	book number:	1
god ID:	Hur	god name:	Hurricane	part title:	THE CREATION OF THE EARTH	part number:	3	number of times referenced in this part:	2	book number:	1
god ID:	Xpi	god name:	Xpiyacoc	part title:	THE CREATION OF THE MUD PERSON	part number:	6	number of times referenced in this part:	3	book number:	1
god ID:	Xmu	god name:	Xmucane	part title:	THE CREATION OF THE MUD PERSON	part number:	6	number of times referenced in this part:	3	book number:	1
god ID:	SPS	god name:	Sovereign Plumed Serpent	part title:	THE CREATION OF THE EFFIGIES OF CARVED WOOD	part number:	7	number of times referenced in this part:	1	book number:	1
god ID:	Xpi	god name:	Xpiyacoc	part title:	THE CREATION OF THE EFFIGIES OF CARVED WOOD	part number:	7	number of times referenced in this part:	4	book number:	1
god ID:	Xmu	god name:	Xmucane	part title:	THE CREATION OF THE EFFIGIES OF CARVED WOOD	part number:	7	number of times referenced in this part:	4	book number:	1
god ID:	Hur	god name:	Hurricane	part title:	THE FALL OF THE EFFIGIES OF CARVED WOOD	part number:	8	number of times referenced in this part:	1	book number:	1
god ID:	PBD	god name:	Seven Macaw	part title:	THE PRIDE OF SEVEN MACAW BEFORE THE DAWN	part number:	9	number of times referenced in this part:	5	book number:	1
god ID:	PBD	god name:	Seven Macaw	part title:	THE FALL OF SEVEN MACAW AND HIS SONS	part number:	10	number of times referenced in this part:	6	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE FALL OF SEVEN MACAW AND HIS SONS	part number:	10	number of times referenced in this part:	3	book number:	2
god ID:	Xba	god name:	Xbalanque	part title:	THE FALL OF SEVEN MACAW AND HIS SONS	part number:	10	number of times referenced in this part:	2	book number:	2
god ID:	Zip	god name:	Zipacna	part title:	THE FALL OF SEVEN MACAW AND HIS SONS	part number:	10	number of times referenced in this part:	4	book number:	2
god ID:	PBD	god name:	Seven Macaw	part title:	THE DEFEAT OF SEVEN MACAW	part number:	11	number of times referenced in this part:	18	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE DEFEAT OF SEVEN MACAW	part number:	11	number of times referenced in this part:	10	book number:	2
god ID:	Xba	god name:	Xbalanque	part title:	THE DEFEAT OF SEVEN MACAW	part number:	11	number of times referenced in this part:	3	book number:	2
god ID:	Xpi	god name:	Xpiyacoc	part title:	THE DEFEAT OF SEVEN MACAW	part number:	11	number of times referenced in this part:	7	book number:	2
god ID:	Xmu	god name:	Xmucane	part title:	THE DEFEAT OF SEVEN MACAW	part number:	11	number of times referenced in this part:	7	book number:	2
god ID:	Zip	god name:	Zipacna	part title:	THE DEEDS OF ZIPACNA AND THE FOUR HUNDRED BOYS	part number:	12	number of times referenced in this part:	14	book number:	2
god ID:	PBD	god name:	Seven Macaw	part title:	THE DEEDS OF ZIPACNA AND THE FOUR HUNDRED BOYS	part number:	12	number of times referenced in this part:	2	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE DEEDS OF ZIPACNA AND THE FOUR HUNDRED BOYS	part number:	12	number of times referenced in this part:	1	book number:	2
god ID:	Xba	god name:	Xbalanque	part title:	THE DEEDS OF ZIPACNA AND THE FOUR HUNDRED BOYS	part number:	12	number of times referenced in this part:	1	book number:	2
god ID:	Zip	god name:	Zipacna	part title:	THE DEFEAT OF ZIPACNA	part number:	13	number of times referenced in this part:	15	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE DEFEAT OF ZIPACNA	part number:	13	number of times referenced in this part:	6	book number:	2
god ID:	Xba	god name:	Xbalanque	part title:	THE DEFEAT OF ZIPACNA	part number:	13	number of times referenced in this part:	6	book number:	2
god ID:	PBD	god name:	Seven Macaw	part title:	THE DEFEAT OF ZIPACNA	part number:	13	number of times referenced in this part:	1	book number:	2
god ID:	PBD	god name:	Seven Macaw	part title:	THE DEFEAT OF CABRACAN	part number:	14	number of times referenced in this part:	2	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE DEFEAT OF CABRACAN	part number:	14	number of times referenced in this part:	8	book number:	2
god ID:	Xba	god name:	Xbalanque	part title:	THE DEFEAT OF CABRACAN	part number:	14	number of times referenced in this part:	8	book number:	2
god ID:	Hur	god name:	Hurricane	part title:	THE DEFEAT OF CABRACAN	part number:	14	number of times referenced in this part:	3	book number:	2
god ID:	Zip	god name:	Zipacna	part title:	THE DEFEAT OF CABRACAN	part number:	14	number of times referenced in this part:	1	book number:	2
god ID:	Hun	god name:	Hunahpu	part title:	THE TALE OF THE FATHER OF HUNAHPU AND XBALANQUE	part number:	15	number of times referenced in this part:	2	book number:	3
god ID:	Xba	god name:	Xbalanque	part title:	THE TALE OF THE FATHER OF HUNAHPU AND XBALANQUE	part number:	15	number of times referenced in this part:	2	book number:	3
god ID:	OneH	god name:	One Hunahpu	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	11	book number:	3
god ID:	SevH	god name:	Seven Hunahpu	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	7	book number:	3
god ID:	Xpi	god name:	Xpiyacoc	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	1	book number:	3
god ID:	Xmu	god name:	Xmucane	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	1	book number:	3
god ID:	OneMonk	god name:	One Monkey	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	6	book number:	3
god ID:	OneArt	god name:	One Artisan	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	4	book number:	3
god ID:	Hur	god name:	Hurricane	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	2	book number:	3
god ID:	OneD	god name:	One Death	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	3	book number:	3
god ID:	SevenD	god name:	Seven Death	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	3	book number:	3
god ID:	BldG	god name:	Blood Gatherer	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	1	book number:	3
god ID:	Hun	god name:	Hunahpu	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	1	book number:	3
god ID:	Xba	god name:	Xbalanque	part title:	THE DEEDS OF ONE HUNAHPU AND SEVEN HUNAHPU ABOVE XIBALBA	part number:	16	number of times referenced in this part:	1	book number:	3
god ID:	OneD	god name:	One Death	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	2	book number:	3
god ID:	SevenD	god name:	Seven Death	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	2	book number:	3
god ID:	OneH	god name:	One Hunahpu	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	3	book number:	3
god ID:	SevH	god name:	Seven Hunahpu	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	3	book number:	3
god ID:	BldG	god name:	Blood Gatherer	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	1	book number:	3
god ID:	OneMonk	god name:	One Monkey	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	1	book number:	3
god ID:	OneArt	god name:	One Artisan	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	1	book number:	3
god ID:	Xmu	god name:	Xmucane	part title:	THE SUMMONS OF ONE HUNAHPU AND SEVEN HUNAHPU TO XIBALBA	part number:	17	number of times referenced in this part:	1	book number:	3
god ID:	OneH	god name:	One Hunahpu	part title:	THE DESCENT OF ONE HUNAHPU AND SEVEN HUNAHPU INTO XIBALBA	part number:	18	number of times referenced in this part:	12	book number:	3
god ID:	SevH	god name:	Seven Hunahpu	part title:	THE DESCENT OF ONE HUNAHPU AND SEVEN HUNAHPU INTO XIBALBA	part number:	18	number of times referenced in this part:	6	book number:	3
god ID:	OneD	god name:	One Death	part title:	THE DESCENT OF ONE HUNAHPU AND SEVEN HUNAHPU INTO XIBALBA	part number:	18	number of times referenced in this part:	6	book number:	3
