A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by John Densmore / Robby Krieger / Ray Manzarek / Jim Morrison
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
A.C. Reed	by Aaron Carthen Reed
Albert Collins	by Weaver / Thompson
Albert Collins	by Albert Collins
Albert Collins	by Gwendolyn Collins
Albert Collins	by Albert Collins
Albert Collins	by Newton
Albert Collins	by Albert Collins
Albert Collins	by Gwendolyn Collins
Albert Collins	by Albert Collins
Albert Collins	by Gwendolyn Collins / J.B. Richardson
Albert Collins	by T-Bone Walker
Albert Collins	by T-Bone Walker
Albert Collins	by Albert Collins
Albert Collins	by Albert Collins
Albert Collins	by Clarence Carter / George Jackson
Albert Collins	by Albert Collins
Albert Collins	by Albert Collins
Albert Collins	by Gwendolyn Collins / H. Williams
Albert Collins	by Albert Collins
Albert Collins	by Bill Rice
Albert Collins	by Gwendolyn Collins
Albert Collins	by Gwendolyn Collins
Albert Collins	by Gwendolyn Collins
Albert Collins	by Gwendolyn Collins
Albert Collins	by
Albert Collins	by Albert Collins
Albert Collins	by Little Johnny Taylor
Albert Collins	by Albert Collins
Albert Collins	by Gwendolyn Collins / Eric Smith
Albert Collins	by Ivory Joe Hunter
Albert Collins	by Gwendolyn Collins / Eric Smith
Albert Collins	by A.C. Reed (Aaron Carthen Reed)
Albert Collins	by Albert Collins
Albert Collins	by Jimmy Liggins
Albert Collins	by Gwendolyn Collins / Johnny B. Gayden / S. Richardson
Albert Collins	by Albert Collins
Albert Collins	by Albert Collins
Albert Collins	by Price, publisher unknown
Albert Collins	by Albert Collins , arrangement by Casey Jones (drums & vocal)
Albert Collins	by Gwendolyn Collins / Eric Smith
Albert Collins	by Albert Collins
Albert Collins	by Albert Collins
